Piła,53.150967,16.738228
Szamotuły,52.611656,16.577906
Kłodzko,50.434563,16.661394
Żnin,52.849384,17.719477
Paczków,50.463993,17.006659
Kazimierz Dolny,51.318043,21.954248
Bolesławiec,51.265854,15.565740
Sztutowo,54.326084,19.179071
Kudawa-Zdrój,50.442715,16.242661
Olkusz,50.281315,19.565687
Lubartów,51.459869,22.609461
Wieliczka,49.987061,20.064796
Police,53.552040,14.572061
Przemyśl,49.783863,22.767792
Myszyniec,53.380493,21.349531
Kielce,50.866077,20.628569
Frombork,54.357479,19.680073
Zakopane,49.299030,19.949047
Sopot,54.444092,18.570328
Krosno,49.690289,21.754990
Pruszków,52.170471,20.811886
Łeba,54.753063,17.557011
Kędzierzyn-Koźle,50.349880,18.226185
Grodziec,52.038197,18.059839
